Info    2021-03-29 16:09:58:0971  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0863)     Description:Current dynamic library path[E:\Work\HF7211_Soft_100J_WIFI\MvImport\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-03-29 16:09:58:0971  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0866)     Description:[MV_CC_CreateHandle] return[0x0]     Solution:
Info    2021-03-29 16:09:58:0971  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L6010)     Description:CamCtrl[0x3000003], GigE SDKVersion[0x3000003], DriverVersion[0x3000001]     Solution:
Info    2021-03-29 16:09:59:0524  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4097)     Description:[MV_CC_InvalidateNodes] return[0x0]     Solution:
Info    2021-03-29 16:09:59:0524  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1125)     Description:[MV_CC_OpenDevice] nPrivilegeMode[1], nSwitchoverKey[0], return[0x0]     Solution:
Info    2021-04-08 14:21:42:0857  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(6688)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 14:21:42:0857  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(6688)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 14:21:42:0857  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(6688)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
Info    2021-04-08 14:21:42:0857  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L7638)  ProcessName:python.exe(6688)     Description:CamCtrl[0x3040200], GigE SDKVersion[0x3040100], DriverVersion[0x3040001]     Solution:
Info    2021-04-08 14:21:43:0250  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L3106)  ProcessName:python.exe(6688)     Description:[GetGenICamXML]Get XML success!     Solution:
Info    2021-04-08 14:21:43:0345  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L4899)  ProcessName:python.exe(6688)     Description:[MV_CC_InvalidateNodes]Invalidate Nodes success     Solution:
Info    2021-04-08 14:21:43:0349  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L1392)  ProcessName:python.exe(6688)     Description:[MV_CC_OpenDevice]Open device success! PrivilegeMode[1], SwitchoverKey[0], DeviceUptime[62]     Solution:
Info    2021-04-08 14:22:25:0308  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0834)  ProcessName:python.exe(10876)     Description:[GEV Info]DeviceIP[192.168.1.100], NetIP[192.168.1.102], ManufacturerInfo[GEV], DeviceVersion[V2.8.0 171016], UserID[]     Solution:
Info    2021-04-08 14:22:25:0308  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0949)  ProcessName:python.exe(10876)     Description:CameraControl Dll, Path[C:\Program Files (x86)\Common Files\MVS\Runtime\Win64_x64\MvCameraControl.dll]     Solution:
Info    2021-04-08 14:22:25:0308  DevID:MV-CE013-50GM(00D04457168)  Source-Line:MvCameraControl.dll(CInterfaceManager.cpp-L0952)  ProcessName:python.exe(10876)     Description:[MV_CC_CreateHandle]IsWriteLog[1], Ret[0x0]     Solution:
