2021_05_19 2021-05-19 14:45:05   初始化  设备relay_1连接IP ：192.168.1.110 失败
2021_05_19 2021-05-19 14:45:05   继电器1通信失败，无法发送密码
2021_05_19 2021-05-19 14:45:09   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:12   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:16   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:19   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:23   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:26   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:30   继电器relay_1通信失败！
2021_05_19 2021-05-19 14:45:33   继电器relay_1返回指令：4E 4F 
2021_05_19 2021-05-19 14:45:33   继电器1通信密码错误：4E 4F 
2021_05_19 2021-05-19 14:45:36   继电器relay_1返回指令：4F 4B AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:40   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:43   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:46   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:49   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:52   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:56   继电器relay_1返回指令：AA 55 00 04 00 8A 00 00 8E 
2021_05_19 2021-05-19 14:45:58   尝试[开启]第3台供电
2021_05_19 2021-05-19 14:45:58   [开启]第3台供电成功
2021_05_19 2021-05-19 14:45:59   继电器relay_1返回指令：AA 55 00 04 00 82 02 01 89 AA 55 00 04 00 82 02 01 89 AA 55 00 04 00 8A 02 00 90 
2021_05_19 2021-05-19 14:46:02   继电器relay_1返回指令：AA 55 00 04 00 8A 02 00 90 
2021_05_19 2021-05-19 14:46:04   尝试[开启]第4台供电
2021_05_19 2021-05-19 14:46:04   [开启]第4台供电成功
2021_05_19 2021-05-19 14:46:05   继电器relay_1返回指令：AA 55 00 04 00 82 03 01 8A AA 55 00 04 00 82 03 01 8A AA 55 00 04 00 8A 06 00 94 
2021_05_19 2021-05-19 14:46:07   尝试[开启]第5台供电
2021_05_19 2021-05-19 14:46:07   [开启]第5台供电成功
2021_05_19 2021-05-19 14:46:09   继电器relay_1返回指令：AA 55 00 04 00 82 04 01 8B AA 55 00 04 00 82 04 01 8B AA 55 00 04 00 8A 0E 00 9C 
2021_05_19 2021-05-19 14:46:12   继电器relay_1返回指令：AA 55 00 04 00 8A 0E 00 9C 
2021_05_19 2021-05-19 14:46:15   继电器relay_1返回指令：AA 55 00 04 00 8A 0E 00 9C 
2021_05_19 2021-05-19 14:46:18   继电器relay_1返回指令：AA 55 00 04 00 8A 0E 00 9C 
2021_05_19 2021-05-19 14:46:21   继电器relay_1返回指令：AA 55 00 04 00 81 04 00 89 AA 55 00 04 00 81 04 00 89 AA 55 00 04 00 8A 06 00 94 
2021_05_19 2021-05-19 14:46:25   继电器relay_1返回指令：AA 55 00 04 00 81 03 00 88 AA 55 00 04 00 81 03 00 88 AA 55 00 04 00 8A 02 00 90 
2021_05_19 2021-05-19 14:46:28   继电器relay_1返回指令：AA 55 00 04 00 81 02 00 87 AA 55 00 04 00 81 02 00 87 AA 55 00 04 00 81 08 00 8D AA 55 00 04 00 81 06 00 8B AA 55 00 04 00 81 05 00 8A AA 55 00 04 00 81 04 00 89 AA 55 00 04 00 81 03 00 88 AA 55 00 04 00 81 02 00 87 AA 55 00 04 00 81 01 00 86 AA 55 00 04 00 81 07 00 8C AA 55 00 04 00 8A 00 00 8E 
