2021_04_25 2021-04-25 10:12:55   设备relay_2连接IP ：192.168.1.136 失败
2021_04_25 2021-04-25 10:12:59   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:02   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:06   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:08   尝试[开启]第12台供电
2021_04_25 2021-04-25 10:13:08   [开启]第12台供电失败
2021_04_25 2021-04-25 10:13:09   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:09   尝试[开启]第13台供电
2021_04_25 2021-04-25 10:13:10   [开启]第13台供电失败
2021_04_25 2021-04-25 10:13:10   尝试[开启]第14台供电
2021_04_25 2021-04-25 10:13:11   [开启]第14台供电失败
2021_04_25 2021-04-25 10:13:12   尝试[开启]第12台供电
2021_04_25 2021-04-25 10:13:12   [开启]第12台供电失败
2021_04_25 2021-04-25 10:13:13   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:13   尝试[开启]第11台供电
2021_04_25 2021-04-25 10:13:13   [开启]第11台供电失败
2021_04_25 2021-04-25 10:13:14   尝试[开启]第10台供电
2021_04_25 2021-04-25 10:13:14   [开启]第10台供电失败
2021_04_25 2021-04-25 10:13:17   继电器relay_2通信失败！
2021_04_25 2021-04-25 10:13:17   尝试[开启]第9台供电
2021_04_25 2021-04-25 10:13:17   [开启]第9台供电失败
