2021_04_25 2021-04-25 10:12:55   设备volt_10连接IP ：192.168.1.130 失败
2021_04_25 2021-04-25 10:12:57   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:12:59   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:01   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:03   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:05   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:06   尝试[开启]第10台工作
2021_04_25 2021-04-25 10:13:06   [开启]第10台工作失败
2021_04_25 2021-04-25 10:13:07   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:09   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:11   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:12   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:14   设备volt_10未读到电压！
2021_04_25 2021-04-25 10:13:16   设备volt_10未读到电压！
